Business ID,Name,Address,Coordinates,Number of Reviews,Rating,Zip Code
U5hCNNyJmb7f3dmC1HTzSQ,Junior's Restaurant,1515 Broadway,"{'latitude': 40.75756463099685, 'longitude': -73.98608001118411}",5550,4.0,10036
UA2M9QFZghe-9th2KwLoWQ,Burger & Lobster - Flatiron NYC,39 W 19th St,"{'latitude': 40.74007, 'longitude': -73.99344}",5842,4.0,10011
FEVQpbOPOwAPNIgO7D3xxw,Shake Shack,"23rd St & Madison Ave, Madison Square Park","{'latitude': 40.74164893941913, 'longitude': -73.98811188695653}",5821,4.0,10010
bL6gcUWgFt7mOZYT_FaGSg,Shake Shack,691 8th Ave,"{'latitude': 40.758412133689, 'longitude': -73.98918226361275}",3126,4.0,10036
_tHF8-3rbyMesgdkQzB2yQ,Serendipity 3,225 E 60th St,"{'latitude': 40.761855, 'longitude': -73.964895}",4578,3.0,10022
XxLGYdB0s8IkZ9QZtGKBZA,Burger Joint,119 W 56th St,"{'latitude': 40.76416469936093, 'longitude': -73.9785744544552}",2409,3.5,10019
wXpCNNTT2kqh-fTnSWXdEA,Shake Shack,366 Columbus Ave,"{'latitude': 40.78082070605781, 'longitude': -73.97655167234677}",2457,4.0,10024
oLA02lMIfgvbYquvXzkARw,Lillie's Victorian Establishment,249 W 49th St,"{'latitude': 40.7614625, 'longitude': -73.9860519}",1577,4.0,10019
YtXl15Nv7TZvV3yIqbZc8A,Burger & Lobster - Bryant Park,132 W 43rd St,"{'latitude': 40.75596, 'longitude': -73.98532}",1219,4.0,10036
WKDdD8Z17-P1XhkyJtDEFA,Johny's Luncheonette,124 W 25th St,"{'latitude': 40.7444458007812, 'longitude': -73.9930725097656}",1159,4.5,10001
x2ATnp8-hXFhr_XznPYPMw,5 Napkin Burger,630 9th Ave,"{'latitude': 40.76018, 'longitude': -73.991093}",2319,4.0,10036
xiwnLiNhSlEN4CDcurqsLQ,2nd Ave Deli,162 E 33rd St,"{'latitude': 40.745222741725954, 'longitude': -73.97918210165679}",1358,4.0,10016
54SrQVVhGcvfuIkFabQ8KQ,P.J. Clarke's,915 Third Ave,"{'latitude': 40.7589148, 'longitude': -73.9680336}",1003,3.5,10022
K144ThGmoIjX6Wh5-_Rn4Q,Ellen's Stardust Diner,1650 Broadway,"{'latitude': 40.7618400790338, 'longitude': -73.9835502325409}",2238,3.5,10019
xkvv0n7jbl4Ra3Vm_jfxaA,Upland,345 Park Ave S,"{'latitude': 40.7418912, 'longitude': -73.9846396}",1184,4.0,10010
fgtw4swOHXEFwZpBCG05rQ,Black Iron Burger,245 W 38th St,"{'latitude': 40.75427, 'longitude': -73.9903099}",1123,4.0,10018
LHxZgTddXIp_S1sL3nNG9w,Park Avenue Tavern,99 Park Ave,"{'latitude': 40.75031, 'longitude': -73.9783999}",943,4.0,10016
BPErPpKSNluwcjbKRgze3w,Xi'an Famous Foods,328 E 78th St,"{'latitude': 40.77197, 'longitude': -73.95452}",647,4.0,10075
hJ1xHZbD7IRlVFNfoe5HGA,Shake Shack Upper East Side,154 E 86th St,"{'latitude': 40.77896920498431, 'longitude': -73.95497599111788}",1431,4.0,10028
hGo9KArKThuOKxNbwmNpoA,Ruby's Cafe,219 Mulberry St,"{'latitude': 40.7223288, 'longitude': -73.996326}",1548,4.0,10012
nkfUKb7oWQt54Uz9VQLhUg,Butcher Bar,37-10 30th Ave,"{'latitude': 40.76431, 'longitude': -73.9164}",2260,4.0,11103
mbkBCEx8mgw9Qroo7xywPg,The Mean Fiddler,266 W 47th St,"{'latitude': 40.7600569, 'longitude': -73.9871765}",793,4.0,10036
MfbVI5reXLIIs8Cc2HwgQw,Breakroom,83 Baxter St,"{'latitude': 40.7166907225542, 'longitude': -73.9999440120647}",1680,4.5,10013
nMWqlWid2YfDeutioit_0w,Bill's Bar & Burger,16 W 51st St,"{'latitude': 40.75929, 'longitude': -73.977534}",1469,3.5,10019
6qcydPo5eTSB4XHyyZDvkA,Bareburger - Hell's Kitchen,366 W 46th St,"{'latitude': 40.760558, 'longitude': -73.990357}",1016,4.0,10036
DW5SL9RM-kJnmRyYo4oEqg,Ruby's - Murray Hill,442 3rd Ave,"{'latitude': 40.74364, 'longitude': -73.97985}",685,4.0,10016
v4X0_xdRmVDQ5qgyGAubHw,Pickler,216 E 45th St,"{'latitude': 40.7520790100098, 'longitude': -73.9721755981445}",374,4.0,10017
8WnHtvMdPWE66eSkUdbLhQ,Flip Sigi,131 7th Ave S,"{'latitude': 40.7344965, 'longitude': -74.0020674}",934,4.0,10014
c3Ww3pgeHjBi3ctkeUWrjQ,Whiskey Tavern,79 Baxter St,"{'latitude': 40.71646, 'longitude': -73.99969}",847,4.5,10013
