Business ID,Name,Address,Coordinates,Number of Reviews,Rating,Zip Code
nI1UYDCYUTt23TpGxqnLKg,Buddakan,75 9th Ave,"{'latitude': 40.7422762672197, 'longitude': -74.0048000961542}",4472,4.0,10011
h0pRCiJDrCN7tm3VX5tILQ,CHILI,13 E 37th St,"{'latitude': 40.75002, 'longitude': -73.98215}",581,4.5,10016
XsXLVWr1UZWVhKThNvNiaA,Blue Willow 夜来湘,40 W 56th St,"{'latitude': 40.76292, 'longitude': -73.976546}",804,4.5,10019
bVkjBJlAIwKAj9Aw1KVWjA,Dim Sum Palace,334 W 46th St,"{'latitude': 40.76015, 'longitude': -73.9893699}",1633,4.0,10036
xq0cX_DgxiJMXwhmEl9kUA,Café China,59 W 37th St,"{'latitude': 40.75157, 'longitude': -73.98584}",1857,4.0,10018
A-ert0jDRBfku9ogyW_mEg,Spice Symphony,150 E 50th St,"{'latitude': 40.7558937072754, 'longitude': -73.9715347290039}",630,4.5,10022
UK1oGbr8GU2rufpnJR4-HQ,Joe's Home of Soup Dumplings,"7 E 48th St, between Fifth and Madison avenues","{'latitude': 40.75723, 'longitude': -73.97702}",390,4.5,10017
0CjK3esfpFcxIopebzjFxA,Joe's Shanghai,46 Bowery St,"{'latitude': 40.7156608, 'longitude': -73.9967012}",7051,4.0,10013
X8ZS-dgiMIJvhwf9SaDnjw,Wah Fung No 1,79 Chrystie St,"{'latitude': 40.71735, 'longitude': -73.99457}",1975,4.5,10002
oe8GEFE4QLFAKt87y7zcgA,Very Fresh Noodles,409 W 15th St,"{'latitude': 40.74207, 'longitude': -74.00565}",1343,4.5,10011
pBNMZp_tKCAfRNx7-ybcHQ,Calle Dao - Chelsea,461 W 23rd St,"{'latitude': 40.74765439999999, 'longitude': -74.00352480000001}",999,4.5,10011
EmJ7rfmv2y6lQZxgA8U__g,Red Peony Chinese Cuisine,24 W 56th St,"{'latitude': 40.76278, 'longitude': -73.97589}",546,4.0,10019
NXg-oNpx0GYNiErdHb8L5A,Awesum Dimsum,160 E 23rd St,"{'latitude': 40.7388534, 'longitude': -73.98367370212858}",573,4.5,10010
0vg2Z-HPwkyVVX613j2ysg,Peng's Noodle Folk,1659 1st Ave,"{'latitude': 40.77726, 'longitude': -73.94932}",536,4.5,10028
lynQoI3w_pzYfHGeuUU-Qg,Shu Jiao Fu Zhou,295 Grand St,"{'latitude': 40.7174109, 'longitude': -73.9920876}",1176,4.5,10002
Va_mnsEvBghHXvc7uZIWJQ,Spice Symphony,182 Lexington Ave,"{'latitude': 40.744722, 'longitude': -73.981202}",667,4.0,10016
uaFHoq-a5XqxF-bsOK9_Qg,Real Kung Fu Little Steamed Buns Ramen,811 8th Ave,"{'latitude': 40.7616286634162, 'longitude': -73.98688}",1115,4.0,10019
4FD0TAxe70nb3ngk3sXF9Q,Uluh,"152 2nd Ave, Ste A","{'latitude': 40.7293403, 'longitude': -73.9866071}",794,4.5,10003
IhSVn0TaX8xXb3wcQ-fgcA,Vanessa's Dumpling House,118A Eldridge St,"{'latitude': 40.71839, 'longitude': -73.9917399}",2819,4.0,10002
H1jops1lmuhrq9lP7lEGJQ,Flor De Mayo,484 Amsterdam Ave,"{'latitude': 40.78609, 'longitude': -73.97658}",1301,4.0,10024
Bb0h5Rs8ugSM2CjulRhfBw,Spicy Moon East Village,328 E 6th St,"{'latitude': 40.72674, 'longitude': -73.98722}",614,4.5,10003
mUl0wtO7tPkBocuJqZ-7Dw,Dun Huang -  Grand Central,320 Lexington Ave,"{'latitude': 40.74922, 'longitude': -73.97785}",303,4.5,10016
Xf6e3HaP0AgMBxY7dEDkOA,99 Favor Taste - New York,285 Grand St,"{'latitude': 40.7176199, 'longitude': -73.99249}",2103,4.0,10002
R26zweQ8-xoZS7iHkXQOvw,Shanghai 21,21 Mott St,"{'latitude': 40.71441, 'longitude': -73.99902}",1928,4.0,10013
-lgNzAEyFr8LCTuBTWnAMg,Dim Sum Palace,28 W 56th St,"{'latitude': 40.762765496672955, 'longitude': -73.97609185077448}",427,4.0,10019
M-odQWSEfsR2mVEw7nKG-g,Nyonya,199 Grand St,"{'latitude': 40.719116974367, 'longitude': -73.9968322948353}",2324,4.0,10013
wfhMIiMh2A2psCGONOVSlg,Han Dynasty,90 3rd Ave,"{'latitude': 40.732072, 'longitude': -73.988074}",1347,4.0,10003
Vzx-7-jSEBz2g8NuGVhHvQ,Philippe By Philippe Chow,33 E 60th St,"{'latitude': 40.76409, 'longitude': -73.97039}",889,3.5,10065
s5JNxy0eAFgxS2Poi73ODw,Mala Project,41 W 46th St,"{'latitude': 40.756899, 'longitude': -73.980586}",499,4.0,10036
