Business ID,Name,Address,Coordinates,Number of Reviews,Rating,Zip Code
22nKUyCIbpnzR6R3_g1ptQ,Carmine's Italian Restaurant - Times Square,200 W 44th St,"{'latitude': 40.75749848725768, 'longitude': -73.98665333142026}",4419,4.0,10036
5TX0X8w5ssIACU_pnBEq6g,Tony's Di Napoli,147 W 43rd St,"{'latitude': 40.75641, 'longitude': -73.98547}",2487,4.0,10036
H_KyiRhwho8rdlw_R93_0Q,Marea,240 Central Park S,"{'latitude': 40.7674213694566, 'longitude': -73.9810554368179}",2324,4.0,10019
a0IET3_yCFcO36OqGSsisg,Eataly NYC Flatiron,200 5th Ave,"{'latitude': 40.74200824886595, 'longitude': -73.98993910744127}",6037,4.0,10010
DoSU8IPq-Py_YV3kYmXPfQ,Trattoria Trecolori,254 West 47th St,"{'latitude': 40.759876, 'longitude': -73.986767}",2607,4.0,10036
16ZnHpuaaBt92XWeJHCC5A,Olio e Più,3 Greenwich Ave,"{'latitude': 40.733798036104304, 'longitude': -73.99977392649927}",4043,4.5,10014
zj8Lq1T8KIC5zwFief15jg,Prince Street Pizza,27 Prince St,"{'latitude': 40.72308755605564, 'longitude': -73.99453001177575}",4779,4.5,10012
OAqsZMbjv66nOMqlimnYuQ,Uva,1486 2nd Ave,"{'latitude': 40.77219299003591, 'longitude': -73.95561517222123}",2703,4.0,10075
raqwXUBlnc0e8c7CYmxEJQ,Scarpetta,88 Madison Ave,"{'latitude': 40.744509, 'longitude': -73.9856}",2220,4.0,10016
dc3hkLkAqCSxDWQzrx-g9A,Quality Italian,57 W 57th St,"{'latitude': 40.7644044527436, 'longitude': -73.9767805051616}",1330,4.0,10019
DJSLGbSqCJ1W8ma3LFlMuw,Patzeria Perfect Pizza,231 W 46th St,"{'latitude': 40.759494511551836, 'longitude': -73.98673451962638}",1785,4.0,10036
bEXTA_Gwo2oVg4gnFd9fNA,Ai Fiori,"400 5th Ave, Ste 2","{'latitude': 40.7500752, 'longitude': -73.9837835}",1452,4.0,10018
xsQTIeq-WLkp4ParkTQpMQ,PizzArte,69 W 55th St,"{'latitude': 40.7629335072372, 'longitude': -73.9776668697596}",1249,4.0,10019
rp8S7scxOkVVeG7dNneMGQ,L'Artusi,228 W 10th St,"{'latitude': 40.73372, 'longitude': -74.00513}",2238,4.5,10014
QObHX0yR6zd0WfksRDbJTA,Becco,355 W 46th St,"{'latitude': 40.76083, 'longitude': -73.98981}",3079,3.5,10036
FKzpfWUpyupl4q74Jt8fTA,Don Antonio,309 W 50th St,"{'latitude': 40.762711, 'longitude': -73.986708}",1631,4.0,10019
vjubSxmdG_HoBBgd39geBw,Nino's 46,39 W 46th St,"{'latitude': 40.7569046125342, 'longitude': -73.980516}",1353,4.0,10036
WG639VkTjmK5dzydd1BBJA,Rubirosa,235 Mulberry St,"{'latitude': 40.722766, 'longitude': -73.996233}",2915,4.5,10012
VtJd1l64kqUUyWacwK0J2Q,Veniero's,342 E 11th St,"{'latitude': 40.729431, 'longitude': -73.984541}",2336,4.0,10003
hdiuRS9sVZSMReZm4oV5SA,Da Andrea,35 W 13th St,"{'latitude': 40.736218, 'longitude': -73.99597}",1822,4.5,10011
z7H9ApIGopnDnQaglnPTzg,Allora Ristorante,145 E 47th St,"{'latitude': 40.75433, 'longitude': -73.97277}",753,4.5,10017
zOmgO8Di9Ui2bQHqSarUKg,John's of Times Square,260 W 44th St,"{'latitude': 40.75823, 'longitude': -73.98836}",2376,4.0,10036
3qIISjUYn1tbqHXi7nCLXg,Sofia Wine Bar,242 E 50th St,"{'latitude': 40.75502, 'longitude': -73.96913}",736,4.0,10022
oJ_XSPZFpvIt6rvheSQl7A,Bleecker Street Pizza,69 7th Ave S,"{'latitude': 40.7320627016512, 'longitude': -74.0036552270137}",2794,4.0,10014
LXdblKc5g1Dp17xiV-Am1w,Trattoria Dell'Arte,900 7th Ave,"{'latitude': 40.76545990643915, 'longitude': -73.98053136970677}",1159,4.0,10019
J38XGzriEkMsDfCMt6et_g,VEZZO NYCThinCrust Pizza,178 Lexington Ave,"{'latitude': 40.744435447210506, 'longitude': -73.9814189}",1385,4.0,10016
iXV4FMZPru7BB_nwN_8mVw,Maiella,4610 Center Blvd,"{'latitude': 40.7471944, 'longitude': -73.9566640197964}",1094,4.0,11109
tRIHhPKryUZ56SfIz6mLiA,Angelo's Coal Oven Pizzeria,117 W 57th St,"{'latitude': 40.76492, 'longitude': -73.97794}",1125,4.0,10019
l7OsDvMOO3ji3fg0nT0QzA,Tony's Di Napoli,1081 3rd Ave,"{'latitude': 40.764385574147596, 'longitude': -73.96426247506157}",820,4.0,10065
f8TZ_ctcSwxwW8S69YKnwg,Il Bambino,34-08 31st Ave,"{'latitude': 40.76281, 'longitude': -73.92089}",1305,4.5,11106
MOwB9YYd-Ko6nVgSB-ltQw,Briciola,370 W 51st St,"{'latitude': 40.7637997047278, 'longitude': -73.9880919456482}",982,4.0,10019
-Td-YEPTOUq2H3LRWgRxUw,Non Solo Piada,302 W 37th St,"{'latitude': 40.75414, 'longitude': -73.99245}",407,4.5,10018
yi6jIxzHo-nbAOG4KWuqcw,Maialino,"30 E 30th St, The Redbury New York","{'latitude': 40.7448869, 'longitude': -73.984231}",1416,4.0,10016
V3USzFEGhuoXez4G2Rk11A,Tavola,488 9th Ave,"{'latitude': 40.755403, 'longitude': -73.994516}",1234,4.0,10018
vVVmHacu2YAxKfpIjhfd1g,Norma,438 3rd Ave,"{'latitude': 40.743553, 'longitude': -73.980026}",595,4.5,10016
jDIVPYpxQAk1HUAi0NIlQw,Pazza Notte,1375 Avenue Of The Americas,"{'latitude': 40.76348, 'longitude': -73.978091}",998,4.0,10019
-hUvO0C0A-pGZdiSKvjoFw,Babbo,110 Waverly Pl,"{'latitude': 40.732283, 'longitude': -73.999284}",2588,4.0,10011
gL4V5DN3yH45hbXqvy8-9g,Pizza By Certé,20 West 55th St,"{'latitude': 40.7619979368852, 'longitude': -73.9761684}",457,4.0,10019
rZ9OFoSqy8u4WECfh--ylg,Marta,29 E 29th St,"{'latitude': 40.7445882, 'longitude': -73.9847936}",1000,4.0,10016
V-FCEicobl5Su-R7EVJQNA,La Lanterna Di Vittorio,129 MacDougal St,"{'latitude': 40.73069, 'longitude': -74.00015}",1633,4.0,10012
VmdyRRMtUXOWV7F7w0ImwQ,Piccola Cucina Uptown,106 E 60th St,"{'latitude': 40.763174, 'longitude': -73.969046}",284,4.5,10022
JLpEKUYAtzBRQwsUL3RPIA,Il Corso,54 W 55th St,"{'latitude': 40.762441, 'longitude': -73.977206}",422,4.5,10019
9iC39Z1YjZKbrrCANgzBXg,Sergimmo Salumeria,456 9th Ave,"{'latitude': 40.754296, 'longitude': -73.995498}",719,4.0,10018
goqTQ4tOD-asC_ZJBW9l7w,Patsy's Italian Restaurant,236 W 56th St,"{'latitude': 40.76553, 'longitude': -73.98274}",1084,4.0,10019
XTSScqbNujYlE7c_nHmS1g,DiSO's Italian Sandwich Society,,"{'latitude': 40.7527323302057, 'longitude': -73.9705090608521}",289,4.5,10036
h37t9rA06Sr4EetJjKrfzw,Don Angie,103 Greenwich Ave,"{'latitude': 40.73778, 'longitude': -74.00197}",656,4.5,10014
JBthOvTegHbrLDiVaCAy5Q,Bigoi Venezia,1415 2nd Ave,"{'latitude': 40.770036, 'longitude': -73.9577755}",334,4.5,10021
ADHX7nBixDPVlq3OXhny0g,Faicco's Italian Specialties,260 Bleecker St,"{'latitude': 40.73113, 'longitude': -74.00306}",647,4.5,10014
hzPBADaUBQEL30MGrvKsww,Il Tinello Ristorante Italiano,16 W 56th St,"{'latitude': 40.76256, 'longitude': -73.97566}",319,4.5,10019
faukkggAc_tuJ4THYlf4fg,La Masseria,235 W 48th St,"{'latitude': 40.760868632784, 'longitude': -73.986348802868}",692,4.0,10036
GjEE8vvjqb7eeHA3BGNxAw,Barolo East,214 E 49th St,"{'latitude': 40.75481, 'longitude': -73.97059}",247,4.5,10017
5Akss-swwfyoSVeIsDBbvw,Basta Pasta,37 W 17th St,"{'latitude': 40.73881, 'longitude': -73.99407}",1510,4.0,10011
HodL0fXoF08C3Ir-kLeTtw,Forma Pasta Factory,14 Bedford Ave,"{'latitude': 40.72371, 'longitude': -73.95157}",514,4.5,11222
HiNUBUR1hFwScd_OvVLQAg,La Pecora Bianca,1133 Broadway,"{'latitude': 40.74358, 'longitude': -73.9892}",1002,4.0,10010
hyBM_Xk9Hzp38acTHAHlBQ,dell'anima,600 11th Ave,"{'latitude': 40.7661790467228, 'longitude': -73.99445587334046}",683,4.0,10036
MphfKkYFEe0BDQ6hZ0A5fA,Gelso & Grand,186 Grand St,"{'latitude': 40.71958, 'longitude': -73.99734}",1366,4.5,10013
4WDHrSodF1Xidv9ezS6Sgg,Tuscany Steakhouse,117 W 58th St,"{'latitude': 40.76546, 'longitude': -73.97724}",204,4.5,10019
7cjT33LfYSk7vrRdEaSr4w,Angeletto Restaurant,890 2nd Ave,"{'latitude': 40.753188, 'longitude': -73.969365}",291,4.5,10017
kIm0oeOaVfC9-2flLPVklA,Patrizia's Pizza and Pasta,462-466 2nd Ave,"{'latitude': 40.7398415, 'longitude': -73.9792862}",759,4.0,10016
5ZEFbq_AQV5VQFG2JKYzlA,Giorgio's of Gramercy,27 E 21st St,"{'latitude': 40.7394209879325, 'longitude': -73.9885425567627}",814,4.0,10010
zg9Jrtx9rqTXeaqufSOxHQ,Masseria dei Vini,887 9th Ave,"{'latitude': 40.7684, 'longitude': -73.98558}",518,4.0,10019
yZJbealagfujEkgesAl2hA,Lupa,170 Thompson St,"{'latitude': 40.7276, 'longitude': -74.000045}",1714,4.0,10012
8oO6j7AlnAbMSJs9Oj9GIw,Osteria Delbianco,22 East 49th St,"{'latitude': 40.7573689002, 'longitude': -73.9764462233}",171,4.5,10017
7_hGsGEkHrjgAiYVjrCFnw,Carbone,181 Thompson St,"{'latitude': 40.728, 'longitude': -74.0001497}",1555,4.0,10012
1ZKbUeFAs0ltSnAYq4ELKw,Trattoria L'incontro,21-76 31st St,"{'latitude': 40.77648209257472, 'longitude': -73.91059675544598}",1092,4.5,11105
h4VCnZ2aZ33mdenS_ZI7jQ,Mama Mia 44 SW,621 9th Ave,"{'latitude': 40.759761, 'longitude': -73.992065}",821,4.0,10036
Tp3MF3DNXuW41A10PQ2nFw,Amali,115 E 60th St,"{'latitude': 40.7633557384716, 'longitude': -73.9686296877489}",498,4.0,10022
rpVX-o82EEOX8ZDnM28a_Q,Bistango,"145 E 50th St, The Kimberly Hotel","{'latitude': 40.75628, 'longitude': -73.97144}",344,4.0,10022
26emJlm1YMFyOCezfgVk4g,Da Raffaele,883 First Ave,"{'latitude': 40.7535386913133, 'longitude': -73.9666010811925}",218,4.5,10022
IErfGS0DASSJfYU73m0Sqg,Malatesta Trattoria,649 Washington St,"{'latitude': 40.73285, 'longitude': -74.00847}",1339,4.0,10014
FCl5446Rovk1HRHoXpojdg,LAVO,39 E 58th St,"{'latitude': 40.762931, 'longitude': -73.971433}",1108,3.5,10022
Ve6GVzzJpR5QIIPdcn6ViQ,Mercato,352 W 39th St,"{'latitude': 40.75619, 'longitude': -73.9937}",1026,4.0,10018
15k7iqFbhf4h8L01yggLqg,Song E Napule,146 W Houston St,"{'latitude': 40.72813, 'longitude': -74.00188}",671,4.5,10012
FhXjAc6nKLf414KxYujUHw,Roberta's,261 Moore St,"{'latitude': 40.70493, 'longitude': -73.93399}",3238,4.0,11206
TzVVPWK_4dhdSEpNqZwIhQ,Toscana 49,143 East 49 St,"{'latitude': 40.7556957079225, 'longitude': -73.9717184007168}",326,4.0,10017
Q1_UvNyONsaVS_VC1mD9Dw,Osteria Cotta,513 Columbus Ave,"{'latitude': 40.78554, 'longitude': -73.97263}",1032,4.0,10024
J0OeDwmh5JBhid0A5GvltA,Il Corallo Trattoria,176 Prince St,"{'latitude': 40.7262073, 'longitude': -74.0018919}",1113,4.0,10012
WEhkGLKlj-5X1pq_07Syaw,Vesta,21-02 30th Ave,"{'latitude': 40.76961, 'longitude': -73.92776}",750,4.5,11102
VgIiCZoUnujSMZATByk77Q,The Meatball Shop - Hell's Kitchen,798 9th Ave,"{'latitude': 40.7651804928198, 'longitude': -73.9874866666706}",493,4.0,10019
UQZmhaPAMdZabid6ccvhTg,IL Punto Ristorante,507 9th Ave,"{'latitude': 40.75614426678582, 'longitude': -73.9946186}",444,4.5,10018
mTWlEiCUEBlxBAkIikkB1A,Carmine's Italian Restaurant - Upper West Side,2450 Broadway,"{'latitude': 40.791077, 'longitude': -73.973763}",1692,4.0,10024
dh5r9-SbN8xJ76XvnayWLQ,Giano Restaurant,126 E 7th St,"{'latitude': 40.7262256596862, 'longitude': -73.9840574049125}",695,4.5,10009
yc4vsT-Q4Ej1_9hr94DxkQ,Sotto 13,140 W 13th St,"{'latitude': 40.7372, 'longitude': -73.99919}",1032,4.0,10011
eVk4F9ixl89zyUHJ1G2Aiw,Luzzos La Pizza Napoletana,15 Avenue B,"{'latitude': 40.721836749997586, 'longitude': -73.98329136062472}",1087,4.0,10009
8-Ug0Zjs5sL6MARspRJ7CA,Bond 45,221 W 46th St,"{'latitude': 40.7591637016814, 'longitude': -73.9859788257256}",871,3.5,10036
WHQpLvxkCK_BMtF8pIShnQ,Carroll Place,157 Bleecker St,"{'latitude': 40.7287, 'longitude': -73.99971}",1241,4.0,10012
d5ya04K-2A_hI3Xzqe1HeA,Caffe Buon Gusto,236 E 77th St,"{'latitude': 40.77249, 'longitude': -73.95713}",663,4.0,10075
abZ-mEvF6Tj4hfyIg0lKwQ,Vite Vinosteria,31-05 34th St,"{'latitude': 40.7629734277725, 'longitude': -73.92119564116}",680,4.5,11106
Vs8kQ4R381y27AH018gLpg,Supper,156 E 2nd St,"{'latitude': 40.72290786539601, 'longitude': -73.98520720537888}",1460,4.0,10009
EMKsuz1fQIGqmWPp3ZEDmA,Vito's Slices and Ices,464 9th Ave,"{'latitude': 40.7545, 'longitude': -73.99528}",272,4.5,10018
k5fd-RSdG4IuXnnGSQ5oOw,San Marzano Pasta Fresca,117 Second Ave,"{'latitude': 40.727966, 'longitude': -73.988382}",1493,4.0,10003
X8Hl9OezX-Yr9Jir3fsF7g,POSTO NYCThinCrust Pizza,310 2nd Ave,"{'latitude': 40.73483, 'longitude': -73.98282}",660,4.0,10003
KCBfW6sWl9Gx-LvMff08jg,Osteria Morini,218 Lafayette St,"{'latitude': 40.7219179851303, 'longitude': -73.9976472073402}",1272,4.0,10012
zTK8reqKrmV7U71YVHYYjg,Armani Ristorante,"717 5th Ave, Giorgio Armani","{'latitude': 40.7618463161798, 'longitude': -73.9742299834671}",286,4.0,10022
zDujEq9qZk13nBcG2PH4tA,Il Falco,21-50 44th Dr,"{'latitude': 40.7476595714373, 'longitude': -73.9455319123659}",341,4.5,11101
kLJfizeHMQqesp1K9mfUtg,Via Quadronno,25 E 73rd St,"{'latitude': 40.77277, 'longitude': -73.96514}",607,4.0,10021
rupPZLhd0oRSAmVDaeYaGA,Bocca di Bacco Hell's Kitchen,836 9th Ave,"{'latitude': 40.7662168, 'longitude': -73.9867943}",702,4.0,10019
TWH4MjLtN1fKlF-7n6YXHg,Lil Frankie's,19 1st Ave,"{'latitude': 40.723625, 'longitude': -73.988555}",1427,4.0,10003
