Business ID,Name,Address,Coordinates,Number of Reviews,Rating,Zip Code
44SY464xDHbvOcjDzRbKkQ,Ippudo NY,65 4th Ave,"{'latitude': 40.73092, 'longitude': -73.99015}",10562,4.0,10003
TN4RnyqHMSupRFot4Q-_EA,Ippudo Westside,321 W 51st St,"{'latitude': 40.76344, 'longitude': -73.98661}",3985,4.0,10019
mESab-FqL5QqSVsnX72asQ,Zen Ramen & Sushi,150 W 36th street,"{'latitude': 40.75177475474212, 'longitude': -73.98897630211589}",2527,4.5,10018
klAhw3xLQi9GF1tf_HnS7w,Izakaya MEW,53 W 35th St,"{'latitude': 40.750148, 'longitude': -73.9863203465939}",2733,4.5,10001
7EaiwMVaNdQibSs0yYkE5Q,Sushi Yasuda,204 E 43rd St,"{'latitude': 40.75113, 'longitude': -73.97347}",2249,4.0,10017
OFfZUS-nu6NDnsWe1B2bUQ,Tonchin,13 W 36th St,"{'latitude': 40.7502727, 'longitude': -73.9844951}",1818,4.5,10018
7iY35991NhQ1AShJZCNZgA,Sakagura,211 E 43rd St,"{'latitude': 40.7516467024541, 'longitude': -73.9729489318165}",1864,4.0,10017
6lUsFj0KCao678o9L7QwUw,Hatsuhana,17 E 48th St,"{'latitude': 40.75703, 'longitude': -73.97692}",1491,4.0,10017
MmXZLVwWcYugi_TXSHmjeQ,Sushi by Bou Times Square,132 W 47th St,"{'latitude': 40.75851, 'longitude': -73.98322}",739,4.5,10036
TBp9gdS6xEbSQqffVZ7iag,KazuNori  | The Original Hand Roll Bar,15 W 28th St,"{'latitude': 40.74519, 'longitude': -73.98824}",1353,4.5,10001
oTkzgr7hzOAdlP99Auj3GQ,Momosan Ramen & Sake - New York,342 Lexington Ave,"{'latitude': 40.74993, 'longitude': -73.97746}",1797,4.0,10016
l_RAv09V67j-Hm9dyZxWhw,Tomi Jazz,239 E 53rd St,"{'latitude': 40.75725, 'longitude': -73.96774}",701,4.5,10022
-Q8MYIWoE4EsGQtudIOY0w,Bua Thai Ramen & Robata Grill,1611 2nd Ave,"{'latitude': 40.7763615, 'longitude': -73.95308}",1982,4.5,10028
HZWHBfeuP4Fb6y8b8uqnbA,Sushi Yasaka,251 W 72nd St,"{'latitude': 40.779583, 'longitude': -73.983482}",1978,4.0,10023
-J8VuX3wGrYSOBu2G0hMsw,Katsu-Hama,11 E 47th St,"{'latitude': 40.75638, 'longitude': -73.97759}",1541,4.0,10017
dtk1Cstz5MHr-B1AOM_nXA,Gyu-Kaku Japanese BBQ,"805 3rd Ave, 2nd Flr","{'latitude': 40.75537, 'longitude': -73.97054}",1283,4.0,10022
SxKvgnkMMZdhBJcxxKQnww,Nobu Fifty Seven,40 W 57th St,"{'latitude': 40.76371615273354, 'longitude': -73.97624989600685}",1424,4.0,10019
icpLRhJ1jpBX1zBGkt7Xqg,Teppen Ramen,159 E 55th St,"{'latitude': 40.75929, 'longitude': -73.96879}",547,4.5,10022
3eBV6HwWcdHzJW3sUH-2hw,ICHIRAN - Times Square,152 W 49th St,"{'latitude': 40.7600737531204, 'longitude': -73.9833259411037}",743,4.5,10019
wSGZA3DOFSUvALZRKCM_Sw,Tanoshi Sushi Sake Bar,1372 York Ave,"{'latitude': 40.767568, 'longitude': -73.952815}",813,4.5,10021
YC-wGlO0oOkEIaCEDZv-ag,Yakitori Totto,"251 W 55th St, Fl 2","{'latitude': 40.765375, 'longitude': -73.983114}",1425,4.0,10019
RjeW_l8OF99rn5df5-Rj4g,Totto Ramen - Midtown East,248 E 52nd St,"{'latitude': 40.756155, 'longitude': -73.968141}",1272,4.0,10022
vk7W3_sQwr7eZbRFsXv6rw,Taiyaki NYC,119 Baxter St,"{'latitude': 40.71789, 'longitude': -73.9988}",3272,4.5,10013
qm1J_dPA5IHij1oAnoZwHw,nonono,118 Madison Ave,"{'latitude': 40.74545, 'longitude': -73.98499}",1096,4.0,10016
FlZ1zdVEKWv7dwqm8Uw8-w,Raku,342 E 6th St,"{'latitude': 40.7264988089246, 'longitude': -73.9866526052356}",1480,4.5,10003
eRtceh_W_yniAfCqJni5Bg,Go! Go! Curry!,273 W 38th St,"{'latitude': 40.7547, 'longitude': -73.991055}",1507,4.0,10018
KcOeFHAojaRDV-DxQJkfPA,Omakase By Korami,400A W 50th St,"{'latitude': 40.763503307884655, 'longitude': -73.989323}",317,5.0,10019
qiw9Kgsu5YVGrQL_OeDmcQ,Hide-Chan Ramen,"248 E 52nd St, Fl 2","{'latitude': 40.75613, 'longitude': -73.9682}",1378,3.5,10022
wjIyCBEpCG_HRp8veiI0YQ,Ootoya Times Square,141 W 41st St,"{'latitude': 40.75487, 'longitude': -73.98599}",1064,4.0,10036
l7G5tDA96xbA_bx1ZgkOeg,ICHIRAN Midtown,132 W 31st St,"{'latitude': 40.74839, 'longitude': -73.99062}",1205,4.0,10001
9bAyxRD6RsGEUQw424ovQA,Nishida Sho-ten,302 E 49th St,"{'latitude': 40.753969, 'longitude': -73.968722}",875,4.0,10017
ONQRhDuWv0e9R5xOiI7YAA,Gyu-Kaku Japanese BBQ,"321 W 44th St, Unit 103","{'latitude': 40.75908, 'longitude': -73.98989}",1348,4.0,10036
zGAQqDu0Ak2khVYs9WdQxw,Sushi Nakazawa,23 Commerce St,"{'latitude': 40.7317465228689, 'longitude': -74.0045493828034}",1691,4.5,10014
J9UA6rzI5WW_cDGjwDnF5g,Tsuru Ton Tan,21 E 16th St,"{'latitude': 40.73678, 'longitude': -73.9910699}",2256,4.0,10003
OLSSJIp8pu5UlugTF7tuHA,Ootoya Chelsea,8 W 18th St,"{'latitude': 40.73881, 'longitude': -73.99279}",1510,4.0,10011
HfJhenvKDi-ds8SUJFwrLg,Momofuku Noodle Bar - East Village,171 1st Ave,"{'latitude': 40.7292063820076, 'longitude': -73.9844848239426}",4393,3.5,10003
SdESb_kSAV6b0WD813J4WQ,Red Poke,600 9th Ave,"{'latitude': 40.7588993, 'longitude': -73.991915}",619,4.5,10036
diz6_4TVSP6EdWEZCZ0Acg,Kaoru,306 E 46th St,"{'latitude': 40.75202, 'longitude': -73.96977}",470,4.5,10017
5QgBCrAbXbM1ORiqZDrBPQ,Cha-An,"230 E 9th St, Fl 2","{'latitude': 40.72947, 'longitude': -73.98813}",1930,4.0,10003
r6r-XK_wL02FQdAgaauTxg,Kame,330 8th Ave,"{'latitude': 40.7474881059799, 'longitude': -73.996648862958}",710,4.5,10001
_FhKGcCbiYgtkXcCiwTAiA,Aburiya Kinnosuke,213 E 45th St,"{'latitude': 40.752583, 'longitude': -73.972274}",800,4.0,10017
Ms1p17KsYteDlkvHnllC2g,Soba Totto,211 E 43rd St,"{'latitude': 40.75142035952174, 'longitude': -73.97310626441747}",931,4.0,10017
dOxHYQmBR14Fa2C1X8oMMQ,Sushi Lab,132 W 47th St,"{'latitude': 40.758413, 'longitude': -73.983292}",468,4.5,10036
diCW3Pj1PTVRSyol_d7cZw,Chef's Table at Brooklyn Fare,431 W 37th St,"{'latitude': 40.7561930774282, 'longitude': -73.9966090932068}",640,4.5,10018
BPZfuPvSxCfoppU4lPFm0Q,DOMODOMO - New York,140 W Houston St,"{'latitude': 40.7280299, 'longitude': -74.00167}",1525,4.0,10012
mIhqKMgru4002wfrVW-Gfw,ChikaLicious Dessert Bar,203 E 10th St,"{'latitude': 40.72964636531206, 'longitude': -73.98620154365136}",1369,4.0,10003
itH4GH2Mw2D5n5kkQAtMog,Abiko Curry,2 W 32nd St,"{'latitude': 40.74721, 'longitude': -73.986192}",977,4.0,10001
lSKEPxxTYxCN9oi6CXRmcQ,Kin Ramen,129 W 56th St,"{'latitude': 40.76435, 'longitude': -73.97904}",206,4.5,10019
bB8dHfAEJrF5tNcHr0yJjA,Gyu-Kaku Japanese BBQ,34 Cooper Sq,"{'latitude': 40.72822, 'longitude': -73.99142}",1790,4.0,10003
orYWYTk6kNK1YODsADk_tg,The Jin,856 10th Ave,"{'latitude': 40.768541, 'longitude': -73.988734}",476,4.5,10019
DPDznXYX5DBLBASKfxQ-DQ,Totto Ramen Hell's Kitchen,464 W 51st St,"{'latitude': 40.765055, 'longitude': -73.991001}",1188,4.0,10019
qEe7nIhPfEL6L0-VYhWRrA,Raku,48 Macdougal St,"{'latitude': 40.72728, 'longitude': -74.00252}",812,4.5,10012
oB2cpcZNyjDklNqZN0n8hg,Sushi Ishikawa,419 E 74th St,"{'latitude': 40.768783, 'longitude': -73.9538981}",323,4.5,10021
CqQ2Og9kf-LhlUWtODalCQ,Blue Ribbon Sushi Bar & Grill - Columbus Circle,"308 W 58th St, 6 Columbus Hotel","{'latitude': 40.7674948014194, 'longitude': -73.9831978922043}",835,4.0,10019
8fr5FYU1ip0phERt1mrekg,Bohemian Restaurant,57 Great Jones St,"{'latitude': 40.72639, 'longitude': -73.99236}",817,4.5,10012
oTL_nPII6x0HfPVpEQklUg,PLANTA Queen - Nomad,15 W 27th St,"{'latitude': 40.744435, 'longitude': -73.98832}",537,4.5,10001
