Business ID,Name,Address,Coordinates,Number of Reviews,Rating,Zip Code
SULHf6nGQ8sK0UpG1XU30w,Los Tacos No.1,229 W 43rd St,"{'latitude': 40.7575067, 'longitude': -73.9877717}",2630,4.5,10036
jnEv25Y2DosTq2sNnvmC9g,Los Tacos No.1,"75 9th Ave, Chelsea Market","{'latitude': 40.7422546402357, 'longitude': -74.0059581}",3697,4.5,10011
Xjswj531-FkRZPpcccU6kQ,Vida Verde,248 W 55th St,"{'latitude': 40.7649503286729, 'longitude': -73.9828372257363}",1493,4.5,10019
Wx6lMnEh7dCmX-9PQF1Ifw,Toloache 50,251 West 50th St,"{'latitude': 40.762227, 'longitude': -73.9856178382696}",2220,4.0,10012
dgaNriM1VdI2nGochhHE_g,Casa Enrique,5-48 49th Ave,"{'latitude': 40.743404338358, 'longitude': -73.954350367693}",1447,4.0,11101
xemN4tP9RlK5c-yUT-M71Q,Mamasita Bar & Grill,818 10th Ave,"{'latitude': 40.76733, 'longitude': -73.98945}",1515,4.0,10019
NOh24SMS6k4pzNv8Ds7KDg,Cafe Habana,17 Prince St,"{'latitude': 40.722998, 'longitude': -73.994171}",3290,4.0,10012
L3REPLCvQpMapYPd_fkS-A,Los Mariscos,409 W 15th St,"{'latitude': 40.74207, 'longitude': -74.00565}",751,4.5,10011
v4_89HfTm05NFTuukjsl_g,EL Burrito Box,885 9th Ave,"{'latitude': 40.76831, 'longitude': -73.98565}",953,4.0,10019
XipQLDbyTl5tsLlyzAWzug,Jajaja Mexicana,162 E Broadway,"{'latitude': 40.71419, 'longitude': -73.99041}",1168,4.5,10002
6Ct7OeTRn4caY9g0swFBsw,La Contenta,102 Norfolk St,"{'latitude': 40.71873, 'longitude': -73.98691}",886,4.5,10002
TgoYhgbPCYhLBNtpue3QHg,Maya,1191 1st Ave,"{'latitude': 40.7632055528185, 'longitude': -73.9596225112209}",1063,3.5,10065
4UxmxAqehEIh7fYrzUEA7A,Tacovision,244 E 53rd St,"{'latitude': 40.7568200311153, 'longitude': -73.9678929001093}",370,4.0,10004
9fG8-RRh1rzuCKN2TmF-QQ,5ive Spice,227 Mulberry St,"{'latitude': 40.722598, 'longitude': -73.996272}",651,4.5,10012
