Business ID,Name,Address,Coordinates,Number of Reviews,Rating,Zip Code
tV6Tgw6FS45BRHyQ207jag,Omar's Mediterranean East Midtown,154 E 55th St,"{'latitude': 40.75905, 'longitude': -73.969273}",663,4.5,10022
dMhRafXdr765DHe0k-QfaQ,ABC Kitchen,35 E 18th St,"{'latitude': 40.73775008339078, 'longitude': -73.98963413652181}",3162,4.0,10003
_zGsfwGAY8ZTob_mIFAM-w,Pokeworks,63 W 37th St,"{'latitude': 40.75166024917636, 'longitude': -73.98585830122367}",1834,4.0,10018
ntkrxOSYT5VtTL4Z5jmmeA,Ground Central,155 E 52nd St,"{'latitude': 40.757575, 'longitude': -73.970321}",687,4.0,10022
csVEpHy5KJoFvM1qp5XwLQ,Le Parisien,163 East 33rd St,"{'latitude': 40.7454079308793, 'longitude': -73.9791478306885}",1045,4.0,10016
iUEvASoukxI6vrCYWYyK8g,Kati Shop,162 E 55th St,"{'latitude': 40.75899, 'longitude': -73.96883}",198,4.5,10022
q7U2GCMWIZxIqWeMDml0LQ,Pure Ktchn,352 West 46th St,"{'latitude': 40.76053, 'longitude': -73.98992}",389,4.5,10036
UB1mGugr1pvgUUP1eTNXrg,Stone Bridge Pizza & Salad,16 E 41st St,"{'latitude': 40.75225, 'longitude': -73.98061}",320,4.5,10017
CYYLEipRFmr73Hz6XNEzoQ,Little Italy Pizza,55 W 45th St,"{'latitude': 40.756482, 'longitude': -73.981484}",599,4.0,10036
0Bm2vjJW5Fw7_Maer6kDUw,Melt Shop,135 W 50th St,"{'latitude': 40.76091344676272, 'longitude': -73.9825650029376}",668,4.0,10019
77EedCTJY1biWIYSzAulCQ,J.G. Melon,1291 3rd Ave,"{'latitude': 40.77105, 'longitude': -73.95931}",1497,3.5,10021
8M_0cxAChoXl7Ls9YkWJlg,Xe May Sandwich Shop,96 Saint Marks Pl,"{'latitude': 40.7272, 'longitude': -73.98493}",660,4.5,10009
k7n_31GE1Yq1KD77_DO1Tw,Chick-fil-A,1000 Avenue Of The Americas,"{'latitude': 40.751726, 'longitude': -73.9860817}",617,4.0,10018
v0LGazMDlyPX5ceLYpZyTg,Akdeniz Mediterranean Cuisine,43 West 46th Street,"{'latitude': 40.756948, 'longitude': -73.9806443}",418,4.0,10036
N4q6Y9cpvUbJ3O5rydrSbQ,Shorty's,617 9th Ave,"{'latitude': 40.7596133, 'longitude': -73.9920779}",720,4.0,10036
AOZlppihRNG8Y2N4Jid30A,Brooklyn Pizza Masters,1055 1st Ave,"{'latitude': 40.7588567, 'longitude': -73.9626842}",222,4.5,10022
PpxJsItHTF6sDAK6XnDJ9w,Bite,211 E 14th St,"{'latitude': 40.733163, 'longitude': -73.986158}",649,4.0,10003
Ey45ZiAN1TSVmvfM6DVZqA,Persepolis,1407 2nd Ave,"{'latitude': 40.76984, 'longitude': -73.958015}",513,4.0,10021
jCRblp7F5IbUSySK_Y7Qiw,EONS Greek Food for Life,633 2nd Ave,"{'latitude': 40.74528, 'longitude': -73.97588}",360,4.0,10016
